102 | Подвесные топливные баки
104 | Наземное оборудование и инструмент для самолетов.
105 | Наземное оборудование и инструмент для самолетов.
106 | Наземное оборудование и инструмент для самолетов.
107 | Наземное оборудование и инструмент для вертолетов.
108 | Наземное оборудование и инструмент общий для всех типов ЛА (верт.
110 | Ведомость потребности и обеспеченности авиадвигателями
121 | Агрегаты летательных аппаратов.
122 | Обогреватели, радиаторы,турбохолодильники, клапаны, регуляторы ре
123 | Фильтры и фильтрующие элементы к ним.
127 | Авиаколеса.
128 | Агрегаты управления тормозами колес и запчасти к колесам.
129 | Авиарезина.
137 | Воздушные винты самолетов (вертолетов) и лопасти.
139 | Агрегаты зажигания авиационных двигателей, выключателей стартеров
141 | Ремонтно-монтажный инструмент
145 | Нормализованные детали к летательным аппаратам и их агрегатам.
151 | Групповые комплекты для капитального ремонта агрегатов летательных аппаратов и двигателей
152 | Групповые комплекты для капитального ремонта агрегатов летательных аппаратов и двигателей
153 | Групповые комплекты для капитального ремонта фильтров
157 | Групповые комплекты для капитального ремонта авивколес, агрегатов управления тормозами колес и инерционных датчиков
158 | Групповые комплекты для капитального ремонта авивколес, агрегатов управления тормозами колес и инерционных датчиков
162 | Групповые комплекты для капитального ремонта агрегатов летательных аппаратов и двигателей
165 | Групповые комплекты к воздушным винтам
167 | Групповые комплекты к агрегатам зажигания.
"311 | Запчасти к изд. ""76"",""94"",""94Р"",""95"",""15"",""50"",""75""."
"313 | Запчасти к изд.""2М""(23-11),""2БМ""(32-25),""2БН""(32-24),""3""(23-12),"""
"314 | Запчасти к изд. ""01""."
"315 | Запчасти к изд. ""02"",""84"",""22"",""39""."
317 | Запчасти к изд. 9-12.
"320 | Запчасти к изд. ""66"",""68"",""69""."
"322 | Запчасти к изд. ""Т-8""."
"327 | Запчасти к ""Т-10""."
"331 | Запчасти изд. ""40""."
"338 | Запчасти к изд. ""Л-29""."
"345 | Запчасти к изд. ""Л-39""."
"356 | Запчасти к изд. ""Т-6""."
"357 | Запчасти к изд. ""С-32"",""С-32М"",""С-32М2"",""С-32МК"",""С-52"",""С-52У"","""
"365 | Запасные части изд. ""28Б"",""Л"",""И"",""У""."
"390 | Запчасти к изд. ""143""."
403 | Запчасти к вертолету В-2.
407 | Запчасти к изд. МИ-8, МИ-8МТ, металлич. и фторопластовые рукава н
409 | Запчасти к изд. МИ-6, МИ-10.
"415 | Запчасти к изд. ""242"",""245"",""246"",""249""."
"416 | Агрегаты трансмиссии, запчасти к изд.""90""."
421 | Запчасти к изд. АН-12.
433 | Запчасти к изд. АН-2.
436 | Запчасти к самолету ИЛ-14.
437 | Запчасти к самолету ИЛ-18.
438 | Запчасти к изд. 76.
440 | Запчасти к изд.ТУ-134Ш, ТУ-134, ТУ-134А.
442 | Запчасти к АН-72.
446 | Запчасти к АН-24, АН-26.
"500 | Запчасти к изд. ""500""."
600 | Самолетное радиоэлектронное оборудование (РЭО) с дополнением.
601 | Электротехнические изделия.
602 | Запчасти к самолетному РЭО (агрегаты и блоки) с дополнением.
603 | Электротехнические изделия.
604 | Запчасти к самолетному РЭО.
605 | Мощные полупроводниковые приборы.
610 | Аэронавигационное оборудование ЛА (самолетов, вертолетов).
611 | Электровакуумные приборы (ЭВП).
612 | Полупроводниковые приборы (ППП).
615 | Электрооборудование самолетов (вертолетов) с дополнением.
616 | Контрольно-поверочная апаратура по электрооборудованию.
620 | Самолетное противопожарное оборудование.
625 | Запасные части к аэронавигационному оборудованию и установкам.
626 | Табельные техн. сред. контроля и обучения и др.фотолаб. оборудов.
630 | Запасные части электрооборудования самолетов (вертолетов).
651 | Приборы СВЧ.
652 | Приборы СВЧ.
653 | Приборы СВЧ.
654 | Приборы СВЧ.
655 | Приборы СВЧ.
663 | Запчасти к наземным средствам связи и светотехническому имуществу
664 | Штатно-табельные средства связи и РТО (номенклатура ВВС).
665 | Запчасти к радиосредствам (блоки и узлы) и на табельное электроси
666 | Штатно-табельные средства связи общего применения (НВС).
668 | Табельное метеорологическое оборудование.
670 | Запчасти к метеорологическим приборам (расходные материалы к метеоимуществу
672 | Источники питания.
673 | Телефонно-телеграфная аппаратура, ЗИП и продукция промышленных ср
677 | Светотехническое имущество с дополнением.
679 | Кабельные изделия.
681 | Подвижные комплексы контроля.
682 | Штатно-табельное фотооборудование с дополнением (самолетное и наземное)
683 | Авиационные тренажеры и ЗИПы к ним.
684 | Запчасти к штатно-табельному фотооборудованию с дополнением.
686 | Расходные аэрофотоматериалы с дополнением.
687 | Самолетная (сервисная) контрольно-поверочная апаратура.
688 | Запчасти к контрольно-поверочной аппаратуре (ЗИП).
689 | КПА к аэронавигационному оборудованию
690 | Реле слаботочные.
692 | Радиоизмерительные приборы и образцовые средства измерений и пове
693 | Образцовые средства измерений и поверочные установки.
694 | Изделия квантовой электроники.
695 | Электро-измерительные приборы (фондируемые).
696 | Магнитные носители.
725 | Электроугольные изделия.
730 | Предохранители.
732 | Микросхемы интегральные спец. назначения.
735 | Электролампы.
761 | ЛТО, высотное и штурманское снаряжение.
761 | ЛТО, высотное и штурманское снаряжение.
763 | ПДИ, спасательные средства и носимые аварийные запасы.
764 | Запчасти к парашютно-десантному имуществу.
765 | Кислородное самолетное имущество.
767 | Палатки, тенты, АСИ.
771 | Самолетные чехлы.
772 | Чехлы герметичные для авиационных двигателей.
